chr2,61700774,chr2,61703182
chr3,75787295,chr3,75787802
chr3,147685292,chr3,147685496
chr3,194776245,chr3,194776326
chr4,144288374,chr4,144392311
chr5,115872317,chr5,115873660
chr5,147553039,chr5,147554778
chr5,176286136,chr5,176286649
chr6,26127372,chr6,26235068
chr6,33583474,chr6,33585816
chr7,38293018,chr7,38402463
chr7,121162516,chr7,121162624
chr8,81955084,chr8,82017539
chr8,81955084,chr8,82046103
chr8,82017824,chr8,82046107
chr9,31531584,chr9,31567414
chr9,36965795,chr9,36970332
chr9,135894809,chr9,135896593
chr10,12867123,chr10,12867190
chr10,127190681,chr10,127197219
chr11,32389262,chr11,32390658
chr14,22908005,chr14,22918108
chr15,71708609,chr15,71713690
chr16,71830431,chr16,71919666
chr17,21321277,chr17,21322821
chr17,57870216,chr17,57871185
chr19,4739125,chr19,4739702
chr21,35778363,chr21,35778479
chr22,18057661,chr22,18060464
chr22,34210815,chr22,34244459
chrX,78923225,chrX,78926079
chrX,81982418,chrX,81988170
chrY,13459857,chrY,13461101
chrY,13460734,chrY,13482428
chrY,13461416,chrY,13468738
chrY,13467516,chrY,13485547
chrY,13467516,chrY,58993878
chrY,13481709,chrY,13485462
chrY,13485089,chrY,13485767
